4628.87	 20w* 	Ne III 
4628.87	 20w* 	Ne III 
4629.6	 1i 	Ne IV 
		
4631.62	210	U I 
4634.4	 1i 	Ne IV 
4634.7623	140	Ne II 
4635.382	100	Ne II 
4636.125	700	Ne I 
		
4636.6362	700	Ne I 
4636.974	500	Ne I 
4637.7	 1i 	Ne IV 
4639.591	300	Ne I 
4640.443	700	Ne I 
		
4643.182	50	Ne I 
4643.931	20	Ne I 
4644.833	400	Ne I 
4645.418	3000	Ne I 
4645.885	10	Ne I 
		
4646.6	220	U II 
4646.8	 2i 	Ne IV 
4646.81	100	Ne II 
4647.429	40	Ne II 
4648.944	22	Ne II 
		
4649.904	700	Ne I 
4650	40	Ne II 
4651.6	 2i* 	Ne IV 
4651.6	 2i* 	Ne IV 
		
4652.101	300	Ne I 
4653.699	500	Ne I 
4656.3936	3000	Ne I 
4657	 1i 	Ne IV 
4659.7	100	Ne VIII 
		
4660.837	60	Ne II 
4661.1054	1500	Ne I 
4662.5	 1i 	Ne IV 
4663.092	400	Ne I 
4663.518	200	Ne I 
4663.7487	10m	U I
4666.654	500	Ne I 
4666.85	140	U II 
4667.3643	1000	Ne I 
4669.372	60	Ne II 
		
4670.884	700	Ne I 
4671.4	100	U II 
4678.218	3000	Ne I 
4678.314	60	Ne II 
4678.6107	500	Ne I 
		
4679.135	1500	Ne I 
4680.367	1000	Ne I 
4681.2	500	Ne I 
4681.93	200	Ne I 
4681.9984	10m	U I
4682.146	200	Ne I 
		
4682.91	100	Ne I 
4683.238	50	Ne I 
4683.764	300	Ne I 
4686.355	60	Ne II 
4686.9226	10m	U I
4687.671	1000	Ne I 
		
4688.191	20	Ne I 
4688.671	40	Ne II 
4689.07	170	U II 
4691.58	150	Ne I 
4695.2220	10m	U I
4695.363	200	Ne I 
		
4696.943	50	Ne I 
4697.874	22	Ne II 
4698.43	60	Ne II 
4700.243	12	Ne II 
4700.469	50	Ne I 
		
4700.483	12	Ne II 
4701.2267	10m	U I
4702.51	100	U II 
4702.5305	1500	Ne I 
4704.3949	15000	Ne I 
4708.8594	12000	Ne I 
		
4710.0645	 m 	Ne II 
4710.065	10000	Ne I 
4710.4881	300	Ne I 
4712.0633	15000	Ne I 
4712.1406	 150* 	Ne I 
		
4712.1406	 150* 	Ne I 
4712.8	100	Ne I 
4712.968	22	Ne II 
4713.458	22	Ne II 
4714.25	 * 	Ne IV 
		
4714.25	 * 	Ne IV 
4714.3397	700	Ne I 
4714.413	120	Ne II 
4714.935	40	Ne II 
4715.1248	300	Ne I 
		
4715.258	300	Ne I 
4715.344	15000	Ne I 
4715.61	  	Ne IV 
4717.6085	700	Ne I 
4719.363	22	Ne II 
		
4719.608	12	Ne II 
4721.5337	700	Ne I 
4722.15	50	Ne I 
4722.714	150	Ne I 
4722.72	160	U II 
		
4723.81	 700* 	Ne I 
4723.81	 700* 	Ne I 
4724.15	 * 	Ne IV 
4724.15	 * 	Ne IV 
4724.162	50	Ne I 
		
4725.145	700	Ne I 
4725.62	 * 	Ne IV 
4725.62	 * 	Ne IV 
4730.339	22	Ne II 
4730.5746	10m	U I
4730.58	 22w 	Ne II 
		
4731.59	120	U II 
4732.667	 80bl 	Ne II 
4736.785	22	Ne II 
4738.4386
4742.3305	10m	U I
4743.5198	10m	U I
4749.5754	3000	Ne I 
4750.6826	300	Ne I 
		
4751.802	300	Ne I 
4752.732	5000	Ne I 
4753.123	10	Ne I 
4754.44	1000	Ne I 
4755.74	100	U II 
		
4756.81	150	U I 
4758.728	1500	Ne I 
4768.6642	10m	U I
4769.375	100	Ne II 
4772.7	100	U II 
4772.927	120	Ne II 
4773.4331	10m	U I
4777.6772	10m	U I
4780.338	3000	Ne I 
4780.884	300	Ne I 
4781.239	20	Ne I 
4782.121	60	Ne II 
4784.022	20	Ne I 
4785.9201	10m	U I
4788.9258	10000	Ne I 
4789.5982	1000	Ne I 
4790.0603	10m	U I
4790.2195	5000	Ne I 
4790.728	300	Ne I 
4793.78	 120w 	Ne III 
		
4795.918	60	Ne II 
4800.111	150	Ne I 
4801.076	20	Ne I 
4802.363	100	Ne I 
4803.225	10	Ne I 
		
4809.5	100	Ne I 
4810.064	1500	Ne I 
4810.6392	1000	Ne I 
4810.8889	10m	U I
4814.338	500	Ne I 
4815.7072	10m	U I
4815.93	 90w 	Ne III 
		
4816.9	10	Ne I 
4817.6386	3000	Ne I 
4818.7847	1500	Ne I 
4819.937	700	Ne I 
4821.9218	3000	Ne I 
		
4823.1725	1000	Ne I 
4823.37	500	Ne I 
4825.529	500	Ne I 
4827.338	10000	Ne I 
4827.587	3000	Ne I 
		
4829.288	50	Ne I 
4837.3139	5000	Ne I 
4842.5	 120w 	Ne III 
4842.3847	10m	U I
4842.4888	10m	U I
4842.566	100	Ne I 
4842.941	500	Ne I 
		
4845.145	150	Ne I 
4845.767	50	Ne I 
4849.53	300	Ne I 
4851.501	600	Ne I 
4852.655	1000	Ne I 
		
4859.604	150	Ne I 
4860.99	100	U II 
4863.081	1000	Ne I 
4864.3729	300	Ne I 
4865.5065	1000	Ne I 
		
4866.476	800	Ne I 
4867.0189	700	Ne I 
4868.2766	700	Ne I 
4868.8581	10m	U I
4883.403	150	Ne I 
4884.917	10000	Ne I 
		
4885.0971	1000	Ne I 
4885.1407	10m	U I
4888.365	50	Ne I 
4892.09	5000	Ne I 
4892.228	100	Ne I 
4897.924	700	Ne I 
		
4898.784	22	Ne II 
4899.013	500	Ne I 
4910.3518	10m	U I
4928.235	700	Ne I 
4928.4474	10m	U I
4930.944	500	Ne I 
4933.0601	10m	U I
4936.37	40	Ne II 
		
4939.041	1000	Ne I 
4944.5046	10m	U I
4944.987	1000	Ne I 
4955.3905	1500	Ne I 
4955.7753	10m	U I
4957.0335	10000	Ne I 
4957.122	1500	Ne I 
4967.3226	10m	U I
